CASE_LBL,R1_Hon,R2_Hon,R3_Hon,R4_Hon,R5_Hon,R6_Hon,R7_Hon,Goal,R1_Dis,R2_Dis,R3_Dis,R4_Dis,R5_Dis,R6_Dis,R7_Dis,Avg_HonLikelihood,Avg_DisLikelihood,Diff_Likelihood
Hon_SeemGen,3,3,3,3,3,4,2,144,4,4,3,4,4,4,3,3,3.71428571428571,-.714285714285714
Hon_GetAhead,3,2,3,2,3,2,3,145,3,2,5,5,5,3,4,2.57142857142857,3.85714285714286,-1.28571428571429
Hon_AvoidAccu,1,3,4,5,5,3,2,146,4,3,4,4,5,4,4,3.28571428571429,4,-.714285714285714
Hon_AvoidOther,2,3,3,2,1,1,1,147,4,2,4,4,5,3,4,1.85714285714286,3.71428571428571,-1.85714285714286
Hon_MakeFeelBet,2,3,3,2,3,2,2,148,4,4,4,5,5,4,4,2.42857142857143,4.28571428571429,-1.85714285714286
Hon_ProtectWorr,2,3,4,1,3,2,3,149,3,4,3,4,5,4,4,2.57142857142857,3.85714285714286,-1.28571428571429
Hon_ContinConvo,4,3,3,4,3,2,2,150,3,2,4,4,3,1,4,3,3,0
Hon_KeepBrief,2,3,3,1,2,2,1,151,3,2,4,4,5,4,4,2,3.71428571428571,-1.71428571428571
Hon_FeelClose,3,3,4,4,4,5,5,152,3,2,3,1,3,2,1,4,2.14285714285714,1.85714285714286
Hon_GetEven,3,3,4,4,2,2,2,153,4,3,4,3,4,3,5,2.85714285714286,3.71428571428571,-.857142857142857
Hon_SayExpec,3,2,4,2,4,3,2,154,3,3,4,5,3,3,4,2.85714285714286,3.57142857142857,-.714285714285714
Hon_ConfToRole,2,2,2,1,3,3,2,155,4,3,4,5,4,2,4,2.14285714285714,3.71428571428571,-1.57142857142857
